sim,true_beta,n,model,p,n_f,true_beta_f
109,0,25,model3,0.7264246734241991,25,beta = 0
109,0,25,model4,0.14153385856671785,25,beta = 0
110,0,25,model1,0.9770840442117674,25,beta = 0
110,0,25,model2,0.9202933188570023,25,beta = 0
110,0,25,model3,0.6079877975975396,25,beta = 0
110,0,25,model4,0.8657437199065423,25,beta = 0
111,0,25,model1,0.769634457247002,25,beta = 0
111,0,25,model2,0.7700898437755066,25,beta = 0
111,0,25,model3,0.049707061815699415,25,beta = 0
111,0,25,model4,0.2807356376082785,25,beta = 0
112,0,25,model1,0.6377015112749125,25,beta = 0
112,0,25,model2,0.11745629734465153,25,beta = 0
112,0,25,model3,0.36099301022235863,25,beta = 0
112,0,25,model4,0.5818894390957632,25,beta = 0
113,0,25,model1,0.8098341480764781,25,beta = 0
113,0,25,model2,0.6508028274765725,25,beta = 0
113,0,25,model3,0.9417831992297427,25,beta = 0
113,0,25,model4,0.26433006897242584,25,beta = 0
114,0,25,model1,0.8479314638940514,25,beta = 0
114,0,25,model2,0.7960686892306787,25,beta = 0
114,0,25,model3,0.29574070622018633,25,beta = 0
114,0,25,model4,0.8388081438649798,25,beta = 0
115,0,25,model1,0.5587728070826019,25,beta = 0
115,0,25,model2,0.4762943544457201,25,beta = 0
115,0,25,model3,0.34399863599394476,25,beta = 0
115,0,25,model4,0.008313075930208903,25,beta = 0
116,0,25,model1,0.5731093361333925,25,beta = 0
116,0,25,model2,0.78508643920171,25,beta = 0
116,0,25,model3,0.2851760945581219,25,beta = 0
116,0,25,model4,0.22167852150089845,25,beta = 0
117,0,25,model1,0.8289755824814009,25,beta = 0
117,0,25,model2,0.9897948855274137,25,beta = 0
117,0,25,model3,0.38927323741160813,25,beta = 0
117,0,25,model4,0.09425335937361638,25,beta = 0
118,0,25,model1,0.6459335864175468,25,beta = 0
118,0,25,model2,0.5699923833894678,25,beta = 0
118,0,25,model3,0.5102794578332255,25,beta = 0
118,0,25,model4,0.36571063362235556,25,beta = 0
119,0,25,model1,0.2500409949194187,25,beta = 0
119,0,25,model2,0.5688868745166642,25,beta = 0
119,0,25,model3,0.654911699798592,25,beta = 0
119,0,25,model4,0.3658562826740779,25,beta = 0
120,0,25,model1,0.7097099766809114,25,beta = 0
120,0,25,model2,0.27926429571306194,25,beta = 0
120,0,25,model3,0.8025026629628391,25,beta = 0
120,0,25,model4,0.4500744210274922,25,beta = 0
121,0,25,model1,0.7756751346709895,25,beta = 0
121,0,25,model2,0.2636241664752283,25,beta = 0
121,0,25,model3,0.6948419585406458,25,beta = 0
121,0,25,model4,0.43232045062595625,25,beta = 0
122,0,25,model1,0.5627158173770073,25,beta = 0
122,0,25,model2,0.8067952264100435,25,beta = 0
122,0,25,model3,0.4026674837403609,25,beta = 0
122,0,25,model4,0.5883800537116852,25,beta = 0
123,0,25,model1,0.9421143847844573,25,beta = 0
123,0,25,model2,0.7683274134912226,25,beta = 0
123,0,25,model3,0.27043522382494695,25,beta = 0
123,0,25,model4,0.1682111028766794,25,beta = 0
124,0,25,model1,0.24299972267185896,25,beta = 0
124,0,25,model2,0.14264429881920332,25,beta = 0
124,0,25,model3,0.43488707604573884,25,beta = 0
124,0,25,model4,0.011159203927191342,25,beta = 0
125,0,25,model1,0.2447612222671111,25,beta = 0
125,0,25,model2,0.8697297945845801,25,beta = 0
125,0,25,model3,0.8428533862090707,25,beta = 0
125,0,25,model4,0.19717135253088847,25,beta = 0
126,0,25,model1,0.5055043163569719,25,beta = 0
126,0,25,model2,0.3119483586391602,25,beta = 0
126,0,25,model3,0.8674412747070489,25,beta = 0
126,0,25,model4,0.80844510245177,25,beta = 0
127,0,25,model1,0.1527593702064483,25,beta = 0
127,0,25,model2,0.8787588838394372,25,beta = 0
127,0,25,model3,0.21174505445940825,25,beta = 0
127,0,25,model4,0.8602122750976051,25,beta = 0
128,0,25,model1,0.5936813677463726,25,beta = 0
128,0,25,model2,0.8873980380279043,25,beta = 0
128,0,25,model3,0.6157741917879596,25,beta = 0
128,0,25,model4,0.8166260642603779,25,beta = 0
129,0,25,model1,0.4266376459997966,25,beta = 0
129,0,25,model2,0.23041828556459554,25,beta = 0
129,0,25,model3,0.14648573158314915,25,beta = 0
129,0,25,model4,0.7424801014554072,25,beta = 0
130,0,25,model1,0.6086688234185259,25,beta = 0
130,0,25,model2,0.8971276502058443,25,beta = 0
130,0,25,model3,0.22387399911242098,25,beta = 0
130,0,25,model4,0.49808178189115615,25,beta = 0
131,0,25,model1,0.8044451117384597,25,beta = 0
131,0,25,model2,0.6893534188381584,25,beta = 0
131,0,25,model3,0.49997899101788335,25,beta = 0
131,0,25,model4,0.4804281730511545,25,beta = 0
132,0,25,model1,0.0012378668241684015,25,beta = 0
132,0,25,model2,0.9583915621556566,25,beta = 0
132,0,25,model3,0.8741389262569041,25,beta = 0
132,0,25,model4,0.2094701845019424,25,beta = 0
133,0,25,model1,0.836923701330438,25,beta = 0
133,0,25,model2,0.7850559903033454,25,beta = 0
133,0,25,model3,0.8336161338261039,25,beta = 0
133,0,25,model4,0.4321427854420833,25,beta = 0
134,0,25,model1,0.07122281954039313,25,beta = 0
